TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות לפי קופה לתקופה נבחרת 07/1999 - 06/2018,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox113,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox103,Textbox104,Textbox105,Textbox106,Textbox112,Textbox110,Textbox107,Textbox108,Textbox109,SHM3,ID3,Textbox114,Textbox92,Textbox93,Textbox94,Textbox111,Textbox115,Textbox96,Textbox97,Textbox98,Textbox99
"שיעור דמי ניהול ממוצע לשנת
2017",92.0%,30.4,31.9,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-12/16,,מיטב דש חיסכון לילד - חוסכים המעדיפים סיכון מוגבר,11387,92.0%,30.4,31.9,0.00%,0.00%,דווח,- - -,06/18-12/16,,מיטב דש חיסכון לילד - חוסכים המעדיפים סיכון מוגבר,11387,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",99.6%,61.4,63.0,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-12/16,,מיטב דש חיסכון לילד - הלכה ,11388,99.6%,61.4,63.0,0.00%,0.00%,דווח,- - -,06/18-12/16,,מיטב דש חיסכון לילד - הלכה ,11388,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",98.3%,2.4,2.5,- - -,- - -,- - -,- - -,- - -,- - -,06/18-05/17,,אינפיניטי חיסכון לילד - הלכה,11914,98.3%,2.4,2.5,- - -,- - -,דווח,- - -,06/18-05/17,,אינפיניטי חיסכון לילד - הלכה,11914,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99

Textbox65,Textbox48,TZVIRA_NETO,YIT_NCHASIM_BFOAL,SHIUR_DMEI_NIHUL_AHARON,SHIUR_DMEI_NIHUL_AHARON2,Textbox51,Textbox9,Textbox4,Textbox39,TSUA_MITZ_TKUFA,SHM_SUG_KUPA,Textbox24,Textbox25,Textbox26,Textbox27,Textbox29,Textbox10,Textbox11,Textbox5,Textbox30,Textbox31
"שיעור דמי ניהול ממוצע לשנת
2017",84.2%,"-21,384.9","221,455.0",0.58%,0.47%,- - -,4.77%,3.40%,220.80%,06/18-07/99,תגמולים ואישית לפיצויים,84.7%,"61,246.6","459,187.5",0.59%,0.45%,,4.73%,3.38%,216.77%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",84.6%,"89,648.9","212,149.5",0.61%,- - -,- - -,4.71%,3.39%,210.98%,06/18-07/99,קרנות השתלמות,84.7%,"61,246.6","459,187.5",0.59%,0.45%,,4.73%,3.38%,216.77%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",88.0%,"-16,268.5","15,361.3",0.52%,- - -,- - -,4.33%,2.98%,210.75%,06/18-07/99,מרכזית לפיצויים,84.7%,"61,246.6","459,187.5",0.59%,0.45%,,4.73%,3.38%,216.77%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",97.6%,175.6,880.2,1.95%,- - -,- - -,3.55%,1.89%,195.04%,06/18-07/99,מטרה אחרת,84.7%,"61,246.6","459,187.5",0.59%,0.45%,,4.73%,3.38%,216.77%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",92.8%,"5,297.2","5,421.1",0.65%,0.00%,- - -,- - -,- - -,- - -,06/18-07/99,קופת גמל להשקעה,84.7%,"61,246.6","459,187.5",0.59%,0.45%,,4.73%,3.38%,216.77%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",94.1%,"3,778.3","3,920.4",0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-07/99,קופת גמל להשקעה - חסכון לילד,84.7%,"61,246.6","459,187.5",0.59%,0.45%,,4.73%,3.38%,216.77%,06/18-07/99

