TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות לפי קופה לתקופה נבחרת 06/2017 - 05/2018,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox113,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox103,Textbox104,Textbox105,Textbox106,Textbox112,Textbox110,Textbox107,Textbox108,Textbox109,SHM3,ID3,Textbox114,Textbox92,Textbox93,Textbox94,Textbox111,Textbox115,Textbox96,Textbox97,Textbox98,Textbox99
"שיעור דמי ניהול ממוצע לשנת
2017",83.8%,35.4,"5,228.0",0.15%,- - -,1.01,3.97%,2.08%,3.54%,05/18-06/17,,** מורים תיכוניים - מסלול כללי,485,83.8%,35.4,"5,228.0",0.15%,- - -,דווח,3.54%,05/18-06/17,,** מורים תיכוניים - מסלול כללי,485,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",77.9%,-782.4,"8,585.2",0.74%,- - -,1.22,4.78%,2.90%,4.75%,05/18-06/17,, *** מיטב דש השתלמות עד 6 שנות וותק,554,77.9%,-782.4,"8,585.2",0.74%,- - -,דווח,4.75%,05/18-06/17,, *** מיטב דש השתלמות עד 6 שנות וותק,554,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",84.4%,180.1,"6,254.2",0.82%,- - -,1.29,4.16%,2.98%,4.74%,05/18-06/17,," *** אלטשולר שחם השתלמות אג""ח עד 15% במניות",558,84.4%,180.1,"6,254.2",0.82%,- - -,דווח,4.74%,05/18-06/17,," *** אלטשולר שחם השתלמות אג""ח עד 15% במניות",558,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",85.0%,17.3,93.6,0.92%,- - -,1.02,4.95%,3.65%,5.12%,05/18-06/17,," *** הראל השתלמות לטווח ארוך 
(מסלול לאוכלוסיית יעד) ",566,85.0%,17.3,93.6,0.92%,- - -,דווח,5.12%,05/18-06/17,," *** הראל השתלמות לטווח ארוך 
(מסלול לאוכלוסיית יעד) ",566,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",81.5%,-405.2,"11,601.8",0.75%,- - -,1.12,4.39%,2.58%,4.69%,05/18-06/17,, *** מגדל השתלמות כללי,579,81.5%,-405.2,"11,601.8",0.75%,- - -,דווח,4.69%,05/18-06/17,, *** מגדל השתלמות כללי,579,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",86.8%,3.8,200.1,0.18%,- - -,0.99,2.70%,1.39%,1.71%,05/18-06/17,,** שיבולת - השתלמות,580,86.8%,3.8,200.1,0.18%,- - -,דווח,1.71%,05/18-06/17,,** שיבולת - השתלמות,580,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",89.7%,-8.7,286.8,0.66%,- - -,1.02,2.89%,1.77%,2.35%,05/18-06/17,," *** מגדל השתלמות אג""ח עד 10% מניות",599,89.7%,-8.7,286.8,0.66%,- - -,דווח,2.35%,05/18-06/17,," *** מגדל השתלמות אג""ח עד 10% מניות",599,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",87.7%,-159.5,786.4,0.73%,- - -,0.82,2.26%,1.01%,1.24%,05/18-06/17,," *** פסגות שיא השתלמות אג""ח",610,87.7%,-159.5,786.4,0.73%,- - -,דווח,1.24%,05/18-06/17,," *** פסגות שיא השתלמות אג""ח",610,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",100.0%,-28.7,151.8,0.76%,- - -,-3.36,0.32%,0.07%,0.06%,05/18-06/17,, *** פסגות שיא השתלמות כספי,611,100.0%,-28.7,151.8,0.76%,- - -,דווח,0.06%,05/18-06/17,, *** פסגות שיא השתלמות כספי,611,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",90.1%,3.0,479.2,0.63%,- - -,0.97,8.71%,4.27%,6.51%,05/18-06/17,, *** פסגות שיא השתלמות מניות,612,90.1%,3.0,479.2,0.63%,- - -,דווח,6.51%,05/18-06/17,, *** פסגות שיא השתלמות מניות,612,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
